BBL,Calendar Year,Fuel Oil,Electricity,Natural Gas,Others
3025570001,2022,0.0,0.0,0.0,0.0
3025570003,2022,0.0,0.0,0.0,0.0
3021860001,2022,0.0,1950.2505118541997,2946.271907134,0.0
2024550059,2022,0.0,55.415398587999995,65.213769,0.0
2024550062,2022,0.0,67.6315561,31.292406689,0.0
4013190021,2022,0.0,147.1313305678,77.041366,0.0
3005020001,2022,0.0,47.413751846,50.778470999999996,0.0
3010020001,2022,0.0,62.042742057999995,129.285673,0.0
2028340001,2022,0.0,407.8359966536,1736.3941614689998,0.0
3067667504,2022,0.0,100.65297761199999,239.86069831099996,0.0
1005847501,2022,0.0,248.84826626379999,381.627237244,0.0
1007987503,2022,96.727080198,75.345685652,4.434685,0.0
3065637501,2022,0.0,27.169074125999998,16.363191,0.0
3060500007,2022,0.0,117.430111332,11.970994,0.0
1018250051,2022,0.0,38.614858946,3.1600449999999998,0.0
1016770001,2022,0.0,235.1933669538,90.117048,0.0
2028710002,2022,0.0,109.02102817,172.12950999999998,0.0
1021420247,2022,0.0,38.643755146,144.597291311,0.0
1012420055,2022,0.0,1009.1233545509999,839.663783689,0.0
4004060040,2022,0.0,95.1305959338,91.274846,0.0
4097700024,2022,0.0,0.0,86.043511,0.0
4097690054,2022,0.0,0.0,0.0,0.0
4026030130,2022,0.0,63.545055495999996,274.238801311,0.0
4018330215,2022,0.0,380.4111911576,35.541212,0.0
3018600074,2022,0.0,42.938886313999994,102.98028468899999,0.0
3006317502,2022,0.0,65.297610026,17.520989,0.0
3032000035,2022,0.0,70.156217094,55.298131999999995,0.0
3005080010,2022,0.0,46.025289435999994,15.343479,0.0
1005310045,2022,28.578478787999998,62.889400718,39.24829,0.0
1007620061,2022,0.0,254.69338959979999,60.667553,0.0
1008690025,2022,0.0,147.71936823779998,57.730575311,0.0
3048280022,2022,0.0,513.2250325494,135.313663311,0.0
3029760060,2022,0.0,232.85797606979997,52.780718,0.0
4032587503,2022,0.0,30.298243623999998,11.668267,0.0
1004730051,2022,12.31989894,154.787407654,236.26514068900002,0.0
1005440012,2022,0.0,32.47643918,118.095396,0.0
4005897501,2022,0.0,150.401542418,97.090391,0.0
4005310060,2022,0.0,57.526843922,124.569499689,0.0
3071690028,2022,432.35948063600006,106.364889466,0.0,0.0
3016280021,2022,0.0,76.892210276,0.0,0.0
2033110114,2022,0.0,43.202419658,99.034217,0.0
4050507504,2022,0.0,28.247480309999997,39.264223,0.0
